S.No,Project,Sector,State,District,Budget_Outlay_Cr,Amount_Spent_Cr,Implementation_Mode,Year,Company
153,"Reproductive, Maternal, New-Born, Child & Adolescent Health (Rmnch +A)",Gender Equality,Uttar Pradesh,Gautam Buddha Nagar,0,0.1,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
154,Strengthening The Access & Quality Of Childcare Services For All Young Children Under 6 Years Throug,Gender Equality,Uttar Pradesh,Gautam Buddha Nagar,0,0.4,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
155,"Women Empowerment - Collectivization Of Women Into Self Help Groups (Shgs) To Bring About Social, Ec",Gender Equality,Uttar Pradesh,Gautam Buddha Nagar,0,0.36,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
156,"Women Empowerment - Collectivization Of Women Into Self Help Groups (Shgs) To Bring About Social, Ec",Gender Equality,Uttar Pradesh,Gautam Buddha Nagar,0,0.41,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
157,Chakachak Urban Village Project Focusing On Promotion Of Sanitation,Health Care,Uttar Pradesh,Gautam Buddha Nagar,0,0.16,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
158,Chakachak Urban Village Project Focusing On Promotion Of Sanitation,Health Care,Uttar Pradesh,Gautam Buddha Nagar,0,0.91,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
159,Chakachak Urban Village Project Focusing On Promotion Of Sanitation,Health Care,Uttar Pradesh,Gautam Buddha Nagar,0,1.45,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
160,Clean Sectors Project Focusing On Promotion Of Sanitation,Health Care,Uttar Pradesh,Gautam Buddha Nagar,0,0.74,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
161,Clean Sectors Project Focusing On Promotion Of Sanitation,Health Care,Uttar Pradesh,Gautam Buddha Nagar,0,1.63,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
162,Clean Urban Village Project Focusing On Promotion Of Sanitation And Making Available Safe Drinking W,Health Care,Uttar Pradesh,Gautam Buddha Nagar,0,1.45,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
163,Clean Urban Village Project Focusing On Promotion Of Sanitation And Making Available Safe Drinking W,Health Care,Uttar Pradesh,Gautam Buddha Nagar,0,1.91,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
164,"Reproductive, Maternal, New-Born, Child & Adolescent Health (Rmnch +A)",Health Care,Uttar Pradesh,Gautam Buddha Nagar,0,0.5,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
165,SustainableABCD Cities Project Focusing On Promotion Of Sanitation,Health Care,Uttar Pradesh,Gautam Buddha Nagar,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
166,SustainableABCD Cities Project Focusing On Promotion Of Sanitation,Health Care,Uttar Pradesh,Gautam Buddha Nagar,0,3.94,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
167,"Women Empowerment - Collectivization Of Women Into Self Help Groups (Shgs) To Bring About Social, Ec",Livelihood Enhancement Projects,Uttar Pradesh,Gautam Buddha Nagar,0,0.5,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
168,Services & Infrastructural Strengthening Under Integrated Child Development Services(Icds) For Addre,"Poverty, Eradicating Hunger, Malnutrition",Uttar Pradesh,Gautam Buddha Nagar,0,0.63,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
169,Services & Infrastructural Strengthening Under Integrated Child Development Services(Icds) For Addre,"Poverty, Eradicating Hunger, Malnutrition",Uttar Pradesh,Gautam Buddha Nagar,0,1.43,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
170,Clean Urban Village Project Focusing On Promotion Of Sanitation And Making Available Safe Drinking W,Sanitation,Uttar Pradesh,Gautam Buddha Nagar,0,0.23,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
171,Sustainable Cities Project Focusing On Promotion Of Sanitation,Sanitation,Uttar Pradesh,Gautam Buddha Nagar,0,0.07,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
172,Sustainable Cities Project Focusing On Promotion Of Sanitation,Sanitation,Uttar Pradesh,Gautam Buddha Nagar,0,0.31,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
173,"'Gurukul' - Bridge, Remedial, After-School Support Classes/ Police Clubs/ Mobile Education Vans",Slum Area Development,Uttar Pradesh,Gautam Buddha Nagar,0,0.13,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
174,"'Gurukul' - Bridge, Remedial, After-School Support Classes/ Police Clubs/ Mobile Education Vans",Slum Area Development,Uttar Pradesh,Gautam Buddha Nagar,0,0.99,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
175,"Building Inclusive, Gender Friendly And Safe Spaces In Schools And Communities",Slum Area Development,Uttar Pradesh,Gautam Buddha Nagar,0,0.5,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
176,"Reproductive, Maternal, New-Born, Child & Adolescent Health (Rmnch +A)",Slum Area Development,Uttar Pradesh,Gautam Buddha Nagar,0,0.81,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
177,Strengthening The Access & Quality Of Childcare Services For All Young Children Under 6 Years Throug,Slum Area Development,Uttar Pradesh,Gautam Buddha Nagar,0,0.8,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
178,'Sports For Change' - Sports Training & Holistic Development,Training To Promote Sports,Uttar Pradesh,Gautam Buddha Nagar,0,0.16,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
179,'Sports For Change' - Sports Training & Holistic Development,Training To Promote Sports,Uttar Pradesh,Gautam Buddha Nagar,0,0.36,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
180,'Sports For Change' - Sports Training & Holistic Development,Training To Promote Sports,Uttar Pradesh,Gautam Buddha Nagar,0,0.47,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
181,Career Guidance & Counselling,Vocational Skills,Uttar Pradesh,Gautam Buddha Nagar,0,1.56,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
182,Providing Market Oriented Employable Skills With Wage/ Self Employment Opportunities Through Skill T,Vocational Skills,Uttar Pradesh,Gautam Buddha Nagar,0,0.36,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
183,Happy School Project Promoting Education Among Children,Education,Uttar Pradesh,Hardoi,0,8.94,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
184,Solar Electricity Enabled Rooftop Electrification Programme For Ensuring Environmental Sustainabilit,Environmental Sustainability,Uttar Pradesh,Hardoi,0,4.04,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
185,Solar Mini-Grid Village Electrification Programme For Ensuring Environmental Sustainability,Environmental Sustainability,Uttar Pradesh,Hardoi,0,6.71,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
186,"Community Institution Development Project Promoting Gender Equality, Empowering Women",Gender Equality,Uttar Pradesh,Hardoi,0,1.74,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
187,"Sakshar Samuday Project Promoting Education, And Employment Enhancing Vocation Skills Among Women",Gender Equality,Uttar Pradesh,Hardoi,0,0.53,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
188,"Sakshar Samuday Project Promoting Education, And Employment Enhancing Vocation Skills Among Women",Gender Equality,Uttar Pradesh,Hardoi,0,0.55,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
189,"Sakshar Samuday Project Promoting Education, And Employment Enhancing Vocation Skills Among Women",Gender Equality,Uttar Pradesh,Hardoi,0,3.38,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
190,Adolescent Health Promotion Programme,Health Care,Uttar Pradesh,Hardoi,0,0.27,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
191,Covid-19 Management & Vaccine Promotion Programme,Health Care,Uttar Pradesh,Hardoi,0,3.26,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
192,Mobile Health Clinic Programme Promoting Health Care Including Preventive Health Care,Health Care,Uttar Pradesh,Hardoi,0,0.15,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
193,Mobile Health Clinic Programme Promoting Health Care Including Preventive Health Care,Health Care,Uttar Pradesh,Hardoi,0,0.34,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
194,Strengthening Of Health & Wellness Centres For Promoting Health Care Including Preventive Health Car,Health Care,Uttar Pradesh,Hardoi,0,5.44,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
195,Child Nutrition Management Programme For Eradicating Malnutrition,"Poverty, Eradicating Hunger, Malnutrition",Uttar Pradesh,Hardoi,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
196,Child Nutrition Management Programme For Eradicating Malnutrition,"Poverty, Eradicating Hunger, Malnutrition",Uttar Pradesh,Hardoi,0,0.48,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
197,Child Nutrition Management Programme For Eradicating Malnutrition,"Poverty, Eradicating Hunger, Malnutrition",Uttar Pradesh,Hardoi,0,0.63,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
198,Child Nutrition Management Programme For Eradicating Malnutrition,"Poverty, Eradicating Hunger, Malnutrition",Uttar Pradesh,Hardoi,0,0.63,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
199,Child Nutrition Management Programme For Eradicating Malnutrition,"Poverty, Eradicating Hunger, Malnutrition",Uttar Pradesh,Hardoi,0,2.12,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
200,Mobile Health Clinic Programme Promoting Health Care Including Preventive Health Care,"Poverty, Eradicating Hunger, Malnutrition",Uttar Pradesh,Hardoi,0,3.48,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
201,Agriculture Market Development,Rural Development Projects,Uttar Pradesh,Hardoi,0,2.1,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
202,Clean Village Project Focusing On Promotion Of Sanitation And Making Available Required Infrastructu,Rural Development Projects,Uttar Pradesh,Hardoi,0,0.18,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
203,Clean Village Project Focusing On Promotion Of Sanitation And Making Available Required Infrastructu,Rural Development Projects,Uttar Pradesh,Hardoi,0,0.19,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
204,Clean Village Project Focusing On Promotion Of Sanitation And Making Available Required Infrastructu,Rural Development Projects,Uttar Pradesh,Hardoi,0,0.28,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
205,Clean Village Project Focusing On Promotion Of Sanitation And Making Available Required Infrastructu,Rural Development Projects,Uttar Pradesh,Hardoi,0,0.33,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
206,Clean Village Project Focusing On Promotion Of Sanitation And Making Available Required Infrastructu,Rural Development Projects,Uttar Pradesh,Hardoi,0,0.43,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
207,Clean Village Project Focusing On Promotion Of Sanitation And Making Available Safe Drinking Water,Rural Development Projects,Uttar Pradesh,Hardoi,0,1.83,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
208,Crop Practice Improvement: Traditional Crops & Crop Diversification,Rural Development Projects,Uttar Pradesh,Hardoi,0,6.58,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
209,Dairy Value Chain Development Project Focusing On Dairy Livelihood Enhancement,Rural Development Projects,Uttar Pradesh,Hardoi,0,0.1,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
210,Dairy Value Chain Development Project Focusing On Dairy Livelihood Enhancement,Rural Development Projects,Uttar Pradesh,Hardoi,0,0.53,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
211,Dairy Value Chain Development Project Focusing On Dairy Livelihood Enhancement,Rural Development Projects,Uttar Pradesh,Hardoi,0,2.41,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
212,Farmer Training And Capacity Building,Rural Development Projects,Uttar Pradesh,Hardoi,0,2.4,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
213,Liquid Waste Management Project Focusing On Promotion Of Sanitation And Making Available Safe Drinki,Rural Development Projects,Uttar Pradesh,Hardoi,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
214,Liquid Waste Management Project Focusing On Promotion Of Sanitation And Making Available Safe Drinki,Rural Development Projects,Uttar Pradesh,Hardoi,0,3.05,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
215,Panchayat Raj Institutions Project Focusing On Rural Community Development,Rural Development Projects,Uttar Pradesh,Hardoi,0,3.05,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
216,Piped Water Supply Project Focusing On Promotion Of Sanitation And Making Available Safe Drinking Wa,Rural Development Projects,Uttar Pradesh,Hardoi,0,0.08,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
217,Piped Water Supply Project Focusing On Promotion Of Sanitation And Making Available Safe Drinking Wa,Rural Development Projects,Uttar Pradesh,Hardoi,0,4.32,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
218,Strengthening Of Community Health Centres For Promoting Health Care Including Preventinve Health Car,Rural Development Projects,Uttar Pradesh,Hardoi,0,0.19,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
219,Strengthening Of Community Health Centres For Promoting Health Care Including Preventinve Health Car,Rural Development Projects,Uttar Pradesh,Hardoi,0,0.92,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
220,"Strengthening Of Community Platforms (Vhnd, Aaa) For Promoting Health Care Including Preventinve Hea",Rural Development Projects,Uttar Pradesh,Hardoi,0,1.33,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
221,Women Entrepreneurship Project Focusing On Livelihood Enhancement Through Women Entrepreneurship,Rural Development Projects,Uttar Pradesh,Hardoi,0,0.42,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
222,Women Entrepreneurship Project Focusing On Livelihood Enhancement Through Women Entrepreneurship,Rural Development Projects,Uttar Pradesh,Hardoi,0,3.58,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
223,Handicraft Cluster Development Project Enhancing Vocational Skills For Women Through Handicraft,Vocational Skills,Uttar Pradesh,Hardoi,0,0.35,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
224,Handicraft Cluster Development Project Enhancing Vocational Skills For Women Through Handicraft,Vocational Skills,Uttar Pradesh,Hardoi,0,1.9,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
225,Youth Skill Development Project Enhancing Vocational Skills,Vocational Skills,Uttar Pradesh,Hardoi,0,0,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
226,Youth Skill Development Project Enhancing Vocational Skills,Vocational Skills,Uttar Pradesh,Hardoi,0,0.18,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
227,Youth Skill Development Project Enhancing Vocational Skills,Vocational Skills,Uttar Pradesh,Hardoi,0,1.71,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
228,Women Entrepreneurship Project Focusing On Livelihood Enhancement Through Women Entrepreneurship,Women Empowerment,Uttar Pradesh,Hardoi,0,0.28,Other implementing agencies,FY 2021-22,Hcl Technologies Limited
